"policy_area","series_name","description","overview","age","disability","ethnicity","gender","religion","sexualOrientation","transgender","socioEconomicStatus"
"Business, Enterprise and Tourism","Delivering through diversity: Diversity and financial performance in 2017","Research looking at the correlation between diversity in the leadership of large corporations and financial performance. Includes analysis of ethnicity and gender",,,,1,1,,,,
"Business, Enterprise and Tourism","Analysis of Equality Results from the 2011 Census: Part 2","Brings together relevant statistics from the census and other sources to paint a highly detailed picture of equality in Scotland. The policy areas covered are Labour Market, Education, Housing and Transport.",,,,,,1,,,
"Business, Enterprise and Tourism","Female FTSE Index","An annual report on the gender balance of executive directors on boards of the UK's top 100 companies",1,,,,1,,,,
"Business, Enterprise and Tourism","Global Entrepreneurship Monitor","An annual report published by the Hunter Centre for Entrepreneurship at the University of Strathclyde, on entrepreneurship within Scotland and the UK.",1,1,,1,1,,,,
"Business, Enterprise and Tourism","Small Business Survey reports","A collection of UK small business survey reports. This includes ethnicity and gender, whilst the surveys for 2012 and 2014 also contain a breakdown for Scotland by age and disability.",1,1,1,1,1,,,,
"Business, Enterprise and Tourism","Small Business Survey Scotland","Findings from the Longitudinal Small Business Survey. It outlines the key characteristics of small and medium-sized enterprises with employees, in Scotland. Includes statistics on ethnicity and gender",1,,,1,1,,,,
"Business, Enterprise and Tourism","Regional Employment Patterns in Scotland - Statistics from the Annual Population Survey","Summary publication of results from the Annual Population Survey, presenting analysis on the labour market, education and training. The main publication contains data on age, disability, ethnicity and gender, with further equalities analysis found in the Supplementary Local Authority Tables.",1,1,1,1,1,,,,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Business, Enterprise and Tourism","Stonewall Scotland Workplace Equality Index","An annual report measuring workplace inclusivity of lesbian, gay, bisexual and trans employees, including staff survey results",1,,,,,,1,1,
"Children and Families","Bullying Experiences among disabled children and young people in England: Evidence from two longitudinal studies","An ESRC funded project focusing on disabled children’s early cognitive development and their subsequent educational transitions. The research involved analysis of two longitudinal studies of children at different ages, the Millennium Cohort Study (MCS) and Next Steps (formerly the Longitudinal Study of Young People in England).
",1,,1,,,,,,
"Children and Families","Children's Social Work Statistics Scotland","A compendium of statistics on looked after children, child protection and secure care statistics. Covers age, gender, religion and additional support needs",1,1,1,,1,1,,,
"Children and Families","Education Outcomes for Looked After Children","This publication links school and social work data to present information on the attainment, post-school destinations of looked after young people who leave school, and the school attendance and exclusion rates of all looked after children. Includes breakdowns by gender",1,,,,1,,,,
"Children and Families","Young Gypsies & Travellers in Scotland","Produced by Save the Children, this report is the result of peer-led opinion research, whereby 14 young gypsy-traveller children gathered the views of their peers to provide a snapshot of life in the gypsy traveller community.",,,,1,,,,,
"Children and Families","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Children and Families","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Children and Families","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Children and Families","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Children and Families","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Children and Families","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Children and Families","The Experiences of Children with Lesbian and Gay Parents: An Initial Scoping Review of Evidence","Presents the findings from a review of evidence into the experiences of children of lesbian, gay, bisexual and transgender (LGBT) parents. The findings are taken from eight papers identified by experts in the field and an internal literature search. It should be noted that these identified papers were predominantly focused on lesbian and gay parenting and not on parents identifying as bisexual or transgender.",1,,,,,,1,,
"Children and Families","Scottish Health Survey","The Scottish Health Survey 2016 report presents statistics on mental health, general health and caring, alcohol consumption, smoking, diet, physical activity, obesity, respiratory conditions, cardiovascular disease, and diabetes. Contains analysis on age, deprivation and gender",,,1,,,,,,
"Children and Families","School Report Scotland","A survey of LGBT young people's experiences of secondary education including bullying, how schools responded, teaching, and support.",,,,,,,1,1,
"Children and Families","Summary Statistics for Schools in Scotland","Contains the results of the annual pupil census, annual teacher census, early learning and childcare data , school estates data, attendance and absence data and exclusions data. It includes statistics on teachers by age and gender; and on pupils by ethnicity, gender and additional support needs",1,1,,,1,,,,
"Crime and Justice","Criminal Justice Social Work Statistics","National level information on criminal justice social work activity in Scotland, including CJSW reports and social work orders. Includes breakdowns by age, ethnicity and gender",1,1,,1,1,,,,
"Crime and Justice","Criminal Proceedings in Scotland","Statistics are presented on criminal proceedings concluded in Scottish courts and on a range of measures available as alternatives to prosecution. Covers convictions by age and gender, as well as crimes with disability, racial, religious, sexual orientation, transgender aggravators.",1,1,1,1,1,1,1,1,
"Crime and Justice","Domestic abuse recorded by the police in Scotland","Characteristics of victims and perpetrators of domestic abuse incidents recorded by the police in Scotland. Includes analysis by age and gender",1,1,,,1,,,,
"Crime and Justice","Fire and Rescue Statistics Scotland","Statistical reports produced by the Scottish Fire and Rescue Services. Includes number of staff by age, ethnicity and gender",1,1,,1,1,,,,
"Crime and Justice","Police Officer Quarterly Strength Statistics Scotland","Statistics on the number of full-time equivalent police officers in Scotland.",1,,,,,,,,
"Crime and Justice","Prison statistics and population projections Scotland","This publication shows data on Scottish prison population levels and characteristics, receptions to/liberations from Scottish prisons, and international comparisons",1,1,,,1,,,,
"Crime and Justice","Racist Incidents Recorded by the Police in Scotland","This bulletin presents statistics on racist incidents recorded by Police Scotland in 2013-14.",1,,,1,,,,,
"Crime and Justice","Reconviction Rates in Scotland","This publication provides analyses of trends in reconviction statistics up to the latest cohort of 2014-15. Breakdowns are available by age and gender",1,1,,,1,,,,
"Crime and Justice","Recorded Crime in Scotland","This bulletin presents statistics on crimes and offences recorded and cleared up by the police in Scotland, disaggregated by crime/offence group and by local authority. Includes statistics on racially aggravated offences",1,,,1,,,,,
"Crime and Justice","Religiously aggravated offending in Scotland","Analysis about the nature of the religiously aggravated offending charges, the accused and the victims of incidents. Includes age and gender of the accused",1,1,,,1,1,,,
"Crime and Justice","Scottish Crime and Justice Survey","A large-scale social survey which asks people about their experiences and perceptions of crime. Includes statistics by age, disability, ethnicity, gender, religion, and sexual orientation",1,1,1,1,1,1,1,,
"Crime and Justice","How Fair is Britain?: Report of EHRC first triennial review","This Equality and Human Rights review aims to provide an authoritative compilation of the available evidence about equalities in England, Scotland and Wales against 40 indicators agreed by the Commission, the government and other key agencies. It brings together the facts about the experiences and outcomes in life of different individuals and groups. It draws on a range of sources including censuses, government surveys, academic work, and secondary analysis carried out especially for this Review.",1,1,1,1,1,1,1,1,
"Crime and Justice","Inequality among lesbian, gay bisexual and transgender groups in the UK: A review of evidence","A review of evidence to identify the inequality and disadvantage experienced by lesbian, gay, bisexual and transgender people in the UK. ",,,,,,,1,1,
"Crime and Justice","LGBT in Britain: Trans Report","Report based on research with 871 trans and non-binary people within the UK.  It covers hate crime, discrimination, work, higher education, healthcare and housing",1,,,,,,,1,
"Crime and Justice","Life in Scotland for LGBT Young People","Analysis from a survey of LGBT young people in Scotland, covering homophobia, biphobia, and transphobia, discrimination, hate crime, transport, education, health and work.",,,,,,,1,1,
"Crime and Justice","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Crime and Justice","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Crime and Justice","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Crime and Justice","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Crime and Justice","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Crime and Justice","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Crime and Justice","Sexual Orientation in Scotland","This report draws together statistics and research on sexual orientation from a range of sources and presents these in a single bulletin, providing user-friendly infographics and commentary. It examines the differences between heterosexual adults in Scotland and those who self-identify their sexual orientation as lesbian, gay, bisexual or other in major household surveys.",,,,,,,1,,
"Crime and Justice","Hidden in Plain Sight","Inquiry into disability related harassment",,,1,,,,,,
"Culture, Communities and Society","Cultural Consumption in Scotland","Further analysis of the Scottish Household Survey, exploring different 'types' of cultural consumers and the influences on such consumption. Findings are broken down by age, deprivation and gender.",1,1,,,1,,,,
"Culture, Communities and Society","People, Culture and Heritage in Scotland","A more detailed of the culture data from the 2013 Scottish Household Survey. Covers cultural attendance and participation by age, deprivation, disability, ethnicity, gender, and religion",1,1,1,1,1,1,,,
"Culture, Communities and Society","Reporting on Progress towards Equality of Opportunity between Disabled Persons and Other Persons made by Public Authorities in Scotland: The Scottish Ministers' Duties: The Arts, Culture and Built Heritage","Report on the progress which is being made towards equality of opportunity between disabled people and other people across the Arts, Culture and Built Heritage",1,,1,,,,,,
"Culture, Communities and Society","Taking Part focus on: social media","A Department for Culture, Media and Sport report looking at people in England who use social media and their demographic characteristics. Includes data by age, gender, ethnicity, sexual orientation and disability.",1,1,1,1,1,,1,,
"Culture, Communities and Society","National Indicator: Cultural Engagement","The indicator measures the percentage of adults who have either participated in at least one cultural activity or who have attended or visited at least one cultural event or place in the last 12 months.The figures for this indicator come from the 2016 Scottish Household Survey which is a National Statistics product. Scottish Government are the owners of the data",1,,,1,,,,,
"Culture, Communities and Society","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Culture, Communities and Society","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Culture, Communities and Society","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Culture, Communities and Society","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Culture, Communities and Society","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Culture, Communities and Society","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Culture, Communities and Society","Scottish Household Survey","This report presents reliable and up-to-date information on the composition, characteristics and behaviour of Scottish households, both nationally and at a sub-national level. This includes analysis of age, deprivation, disability, ethnicity, gender, religion and sexual orientation",1,1,1,,1,,,,
"Culture, Communities and Society","The BBC's portrayal of lesbian and gay people","Stonewall wanted to investigate how gay people and their lives are represented and portrayed on the BBC. Their research monitored 168 hours of primetime television on BBC One and BBC Two",1,,,,,,1,,
"Demographics","2011 Census","A summary of the 2011 census releases, with links to statistical bulletins. Age and gender is covered in releases 1A and 1B. Disability, ethnicity and religion is covered in releases 2A. Further detailed breakdowns are provided in release 3",2,2,2,2,2,2,,,
"Demographics","Local Area Migration","This tool gives access to migration data from a range of sources for council and NHS Board areas. Information is also available on the strengths and weaknesses of each data source, what each data source indicates, and links are provided for further information. Covers age, gender and ethnicity",6,7,,6,7,,,,
"Demographics","NRS Scotland Statistics","A range of National statistics/Official publications are available on the National Records of Scotland website.",1,1,1,1,1,1,1,1,
"Demographics","Population Estimates for Settlements and Localities","Small area population estimates for settlements and localities in Scotland, by age and gender. Further population estimates are available in the annual mid-year small area population estimates for each data zone in Scotland",5,6,,,6,,,,
"Demographics","Scotland's Census 2011: Data Visualisation Tool","These interactive maps and charts let users explore council area ethnicity and religion statistics across Scotland.",,,,3,,3,,,
"Demographics","Small Area Population Estimates","Small area population estimates at data zone level, by age and gender",5,6,,,6,,,,
"Demographics","Analysis of Equality Results from the 2011 Census: Part 1","Analysis of Equality Results from the 2011 Census, including Ethnicity, Gypsy/Travellers, Religion, Disability and BSL and contains data by age.",4,5,4,5,5,6,,,
"Demographics","Analysis of Equality Results from the 2011 Census: Part 2","Brings together relevant statistics from the census and other sources to paint a highly detailed picture of equality in Scotland. The policy areas covered are Labour Market, Education, Housing and Transport. The BSL section contains data by age.",4,5,4,5,5,6,,,
"Demographics","Characteristics of migrants in Scotland: Analysis of the 2011 Census","Compares characteristics (including Age) of migrants from European Economic Area (EEA) and non-EEA countries with the Scotland-born population and migrants from the rest of the UK.",6,7,,6,7,,,,
"Demographics","Experiences of Muslims living in Scotland","This is the final report of a study into the experiences of Muslims living in Scotland, with specific focus on experiences of discrimination and religious intolerance.",,,,,,4,,,
"Demographics","Measuring Sexual Identity: An Evaluation Report","An Office for National Statistics evaluation based on the Integrated Household Survey (IHS) experimental data, collected between April 2009 - March 2010.",,,,,,,2,,
"Demographics","Overview of Equality Results from 2011 Census Release 2","This paper provides further analysis of equality data originally released from the Census by the National Records of Scotland (NRS). It pulls this together into a user friendly format providing new analysis and insight, particularly around deprivation. The main equality strands included in the paper are ethnicity, religion and disability.",4,5,4,5,5,6,,,
"Demographics","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,3,,,,,,,
"Demographics","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,3,,,,,,
"Demographics","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,4,,,,,
"Demographics","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,4,,,,
"Demographics","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Demographics","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,4,,,
"Demographics","Sexual identity, UK: 2016","Experimental statistics produced by the Office for National Statistics on sexual orientation within the UK",,,,,,,2,,
"Demographics","Sexual Orientation in Scotland","This report draws together statistics and research on sexual orientation from a range of sources and presents these in a single bulletin, providing user-friendly infographics and commentary. It examines the differences between heterosexual adults in Scotland and those who self-identify their sexual orientation as lesbian, gay, bisexual or other in major household surveys.",,,,,,,2,,
"Demographics","Mid-Year Population Estimates","Population estimates by administrative area, Scotland, mid-2017",5,6,,,6,,,,
"Demographics","Scotland's Population: Infographic Report","Scotland's Population 2016 - The Registrar General's Annual Review of Demographic Trends 162nd Edition",3,4,,,3,5,3,,
"Employability, Skills and Lifelong Learning","College Statistics","An annual publication which contains an overview of college student characteristics, including age, disability, ethnicity, and gender. A more detailed breakdown is published in the Widening Access report published later in the year",1,,,,1,,,,
"Employability, Skills and Lifelong Learning","Education Beyond the Straight and Narrow","A National Union of Students report looking at the experiences of LGBT students in higher education, based on a survey of 4,000 students.",1,,,,,,1,1,
"Employability, Skills and Lifelong Learning","Modern Apprenticeship Performance Report","Statistics on modern apprenticeships, covering age, deprivation, disability, ethnicity, and gender",1,1,1,1,1,,,,
"Employability, Skills and Lifelong Learning","Report on Widening Access For All","A report on progress towards the Commission on Widening Access targets. Contains data on further and higher education with analysis covering age, disability, ethnicity, gender, and socio-economic status",1,1,1,1,1,,,,
"Employability, Skills and Lifelong Learning","Work First Scotland & Work Able Scotland","Statistics on the participants of the Work First Scotland and Work Able Scotland for April to September 2017.  This publication contains data for age, disability, ethnicity and gender",1,1,1,1,1,,,,
"Employability, Skills and Lifelong Learning","How Fair is Britain?: Report of EHRC first triennial review","This Equality and Human Rights review aims to provide an authoritative compilation of the available evidence about equalities in England, Scotland and Wales against 40 indicators agreed by the Commission, the government and other key agencies. It brings together the facts about the experiences and outcomes in life of different individuals and groups. It draws on a range of sources including censuses, government surveys, academic work, and secondary analysis carried out especially for this Review.",1,1,1,1,1,1,1,1,
"Employability, Skills and Lifelong Learning","LGBT in Britain: Trans Report","Report based on research with 871 trans and non-binary people within the UK.  It covers hate crime, discrimination, work, higher education, healthcare and housing",1,,,,,,,1,
"Employability, Skills and Lifelong Learning","Life in Scotland for LGBT Young People","Analysis from a survey of LGBT young people in Scotland, covering homophobia, biphobia, and transphobia, discrimination, hate crime, transport, education, health and work.",,,,,,,1,1,
"Employability, Skills and Lifelong Learning","Non-binary people's experiences in the UK","A Scottish Transgender Alliance survey of 895 non-binary people's experiences of services and employment within the UK.",,,,,,,,1,
"Employability, Skills and Lifelong Learning","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Employability, Skills and Lifelong Learning","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Employability, Skills and Lifelong Learning","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Employability, Skills and Lifelong Learning","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Employability, Skills and Lifelong Learning","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Employability, Skills and Lifelong Learning","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Employability, Skills and Lifelong Learning","Sexual Orientation in Scotland","This report draws together statistics and research on sexual orientation from a range of sources and presents these in a single bulletin, providing user-friendly infographics and commentary. It examines the differences between heterosexual adults in Scotland and those who self-identify their sexual orientation as lesbian, gay, bisexual or other in major household surveys.",,,,,,,1,,
"Employability, Skills and Lifelong Learning","Supporting Trans Employees in the Workplace","Research paper looking at experiences of trans people within the workplace. Contains a review of existing literature, as well as results of a qualitative study of trans employees experiences.",1,,,,,,,1,
"Employability, Skills and Lifelong Learning","Higher Education Students and Qualifiers at Scottish Institutions","

This release contains information on HE provision and attainment in higher education institutions (HEIs) and colleges in Scotland.",1,1,1,1,1,,,,
"Employability, Skills and Lifelong Learning","Participation Measure","Statistical publication reporting on learning, training and work activity of 16-19 year olds in Scotland",1,,1,1,1,,,,
"Employability, Skills and Lifelong Learning","Graduate outcomes by University and subject","Experimental statistics presentsing employment and earnings outcomes for graduates of higher education five years after graduation. This analysis tracks higher education graduates as they move from higher education into the workplace, with breakdowns for gender",1,,,,1,,,,
"Housing and Regeneration","Experiences of Muslims living in Scotland","This is the final report of a study into the experiences of Muslims living in Scotland, with specific focus on experiences of discrimination and religious intolerance.",,,,,,1,,,
"Housing and Regeneration","Inequality among lesbian, gay bisexual and transgender groups in the UK: A review of evidence","A review of evidence to identify the inequality and disadvantage experienced by lesbian, gay, bisexual and transgender people in the UK. ",,,,,,,1,1,
"Housing and Regeneration","LGBT in Britain: Trans Report","Report based on research with 871 trans and non-binary people within the UK.  It covers hate crime, discrimination, work, higher education, healthcare and housing",1,,,,,,,1,
"Housing and Regeneration","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
